sensor_time_s,reference_time_s,c1,c2,c3,Fx_ref,Fy_ref,Fz_ref
0.000,0.001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.010,0.011,-1.0,-1.0,0.0,-1.0,-1.0,0.0
0.020,0.021,-1.0,-1.0,1.0,-1.0,-1.0,1.0
0.030,0.031,-1.0,0.0,-1.0,-1.0,0.0,-1.0
0.040,0.041,-1.0,0.0,0.0,-1.0,0.0,0.0
0.050,0.051,-1.0,0.0,1.0,-1.0,0.0,1.0
0.060,0.061,-1.0,1.0,-1.0,-1.0,1.0,-1.0
0.070,0.071,-1.0,1.0,0.0,-1.0,1.0,0.0
0.080,0.081,-1.0,1.0,1.0,-1.0,1.0,1.0
0.090,0.091,0.0,-1.0,-1.0,0.0,-1.0,-1.0
0.100,0.101,0.0,-1.0,0.0,0.0,-1.0,0.0
0.110,0.111,0.0,-1.0,1.0,0.0,-1.0,1.0
0.120,0.121,0.0,0.0,-1.0,0.0,0.0,-1.0
0.130,0.131,0.0,0.0,0.0,0.0,0.0,0.0
0.140,0.141,0.0,0.0,1.0,0.0,0.0,1.0
0.150,0.151,0.0,1.0,-1.0,0.0,1.0,-1.0
0.160,0.161,0.0,1.0,0.0,0.0,1.0,0.0
0.170,0.171,0.0,1.0,1.0,0.0,1.0,1.0
0.180,0.181,1.0,-1.0,-1.0,1.0,-1.0,-1.0
0.190,0.191,1.0,-1.0,0.0,1.0,-1.0,0.0
0.200,0.201,1.0,-1.0,1.0,1.0,-1.0,1.0
0.210,0.211,1.0,0.0,-1.0,1.0,0.0,-1.0
0.220,0.221,1.0,0.0,0.0,1.0,0.0,0.0
0.230,0.231,1.0,0.0,1.0,1.0,0.0,1.0
0.240,0.241,1.0,1.0,-1.0,1.0,1.0,-1.0
0.250,0.251,1.0,1.0,0.0,1.0,1.0,0.0
0.260,0.261,1.0,1.0,1.0,1.0,1.0,1.0
