run_id,configuration_id,sensor_time_s,reference_time_s,c1,c2,c3,Fx_ref,Fy_ref,Fz_ref
spiral_01,spiral,0.000,0.001,0.0000,1.0000,0.7071,0.0000,1.0000,0.7071
spiral_01,spiral,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
spiral_01,spiral,0.020,0.021,1.0000,0.0000,0.7071,1.0000,0.0000,0.7071
spiral_01,spiral,0.030,0.031,0.7071,-0.7071,0.0000,0.7071,-0.7071,0.0000
spiral_01,spiral,0.040,0.041,0.0000,-1.0000,-0.7071,0.0000,-1.0000,-0.7071
spiral_01,spiral,0.050,0.051,-0.7071,-0.7071,-1.0000,-0.7071,-0.7071,-1.0000
spiral_01,spiral,0.060,0.061,-1.0000,0.0000,-0.7071,-1.0000,0.0000,-0.7071
spiral_01,spiral,0.070,0.071,-0.7071,0.7071,0.0000,-0.7071,0.7071,0.0000
spiral_02,spiral,0.000,0.001,0.0000,1.0000,0.7071,0.0000,1.0000,0.7071
spiral_02,spiral,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
spiral_02,spiral,0.020,0.021,1.0000,0.0000,0.7071,1.0000,0.0000,0.7071
spiral_02,spiral,0.030,0.031,0.7071,-0.7071,0.0000,0.7071,-0.7071,0.0000
spiral_02,spiral,0.040,0.041,0.0000,-1.0000,-0.7071,0.0000,-1.0000,-0.7071
spiral_02,spiral,0.050,0.051,-0.7071,-0.7071,-1.0000,-0.7071,-0.7071,-1.0000
spiral_02,spiral,0.060,0.061,-1.0000,0.0000,-0.7071,-1.0000,0.0000,-0.7071
spiral_02,spiral,0.070,0.071,-0.7071,0.7071,0.0000,-0.7071,0.7071,0.0000
lissajous_01,lissajous,0.000,0.001,0.0000,1.0000,0.7071,0.0000,1.0000,0.7071
lissajous_01,lissajous,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
lissajous_01,lissajous,0.020,0.021,1.0000,0.0000,0.7071,1.0000,0.0000,0.7071
lissajous_01,lissajous,0.030,0.031,0.7071,-0.7071,0.0000,0.7071,-0.7071,0.0000
lissajous_01,lissajous,0.040,0.041,0.0000,-1.0000,-0.7071,0.0000,-1.0000,-0.7071
lissajous_01,lissajous,0.050,0.051,-0.7071,-0.7071,-1.0000,-0.7071,-0.7071,-1.0000
lissajous_01,lissajous,0.060,0.061,-1.0000,0.0000,-0.7071,-1.0000,0.0000,-0.7071
lissajous_01,lissajous,0.070,0.071,-0.7071,0.7071,0.0000,-0.7071,0.7071,0.0000
lissajous_02,lissajous,0.000,0.001,0.0000,1.0000,0.7071,0.0000,1.0000,0.7071
lissajous_02,lissajous,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
lissajous_02,lissajous,0.020,0.021,1.0000,0.0000,0.7071,1.0000,0.0000,0.7071
lissajous_02,lissajous,0.030,0.031,0.7071,-0.7071,0.0000,0.7071,-0.7071,0.0000
lissajous_02,lissajous,0.040,0.041,0.0000,-1.0000,-0.7071,0.0000,-1.0000,-0.7071
lissajous_02,lissajous,0.050,0.051,-0.7071,-0.7071,-1.0000,-0.7071,-0.7071,-1.0000
lissajous_02,lissajous,0.060,0.061,-1.0000,0.0000,-0.7071,-1.0000,0.0000,-0.7071
lissajous_02,lissajous,0.070,0.071,-0.7071,0.7071,0.0000,-0.7071,0.7071,0.0000
