run_id,sensor_time_s,reference_time_s,c1,c2,c3,Fx_ref,Fy_ref,Fz_ref
development_01,0.000,0.001,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000
development_01,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
development_01,0.020,0.021,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
development_01,0.030,0.031,0.7071,-0.7071,-1.0000,0.7071,-0.7071,-1.0000
development_01,0.040,0.041,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
development_01,0.050,0.051,-0.7071,-0.7071,1.0000,-0.7071,-0.7071,1.0000
development_01,0.060,0.061,-1.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
development_01,0.070,0.071,-0.7071,0.7071,-1.0000,-0.7071,0.7071,-1.0000
development_02,0.000,0.001,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000
development_02,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
development_02,0.020,0.021,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
development_02,0.030,0.031,0.7071,-0.7071,-1.0000,0.7071,-0.7071,-1.0000
development_02,0.040,0.041,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
development_02,0.050,0.051,-0.7071,-0.7071,1.0000,-0.7071,-0.7071,1.0000
development_02,0.060,0.061,-1.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
development_02,0.070,0.071,-0.7071,0.7071,-1.0000,-0.7071,0.7071,-1.0000
development_03,0.000,0.001,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000
development_03,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
development_03,0.020,0.021,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
development_03,0.030,0.031,0.7071,-0.7071,-1.0000,0.7071,-0.7071,-1.0000
development_03,0.040,0.041,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
development_03,0.050,0.051,-0.7071,-0.7071,1.0000,-0.7071,-0.7071,1.0000
development_03,0.060,0.061,-1.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
development_03,0.070,0.071,-0.7071,0.7071,-1.0000,-0.7071,0.7071,-1.0000
test_01,0.000,0.001,0.0000,1.0000,0.0000,0.0100,1.0200,0.0300
test_01,0.010,0.011,0.7071,0.7071,1.0000,0.7171,0.7271,1.0300
test_01,0.020,0.021,1.0000,0.0000,0.0000,1.0100,0.0200,0.0300
test_01,0.030,0.031,0.7071,-0.7071,-1.0000,0.7171,-0.6871,-0.9700
test_01,0.040,0.041,0.0000,-1.0000,0.0000,0.0100,-0.9800,0.0300
test_01,0.050,0.051,-0.7071,-0.7071,1.0000,-0.6971,-0.6871,1.0300
test_01,0.060,0.061,-1.0000,0.0000,0.0000,-0.9900,0.0200,0.0300
test_01,0.070,0.071,-0.7071,0.7071,-1.0000,-0.6971,0.7271,-0.9700
test_02,0.000,0.001,0.0000,1.0000,0.0000,0.0200,1.0300,0.0400
test_02,0.010,0.011,0.7071,0.7071,1.0000,0.7271,0.7371,1.0400
test_02,0.020,0.021,1.0000,0.0000,0.0000,1.0200,0.0300,0.0400
test_02,0.030,0.031,0.7071,-0.7071,-1.0000,0.7271,-0.6771,-0.9600
test_02,0.040,0.041,0.0000,-1.0000,0.0000,0.0200,-0.9700,0.0400
test_02,0.050,0.051,-0.7071,-0.7071,1.0000,-0.6871,-0.6771,1.0400
test_02,0.060,0.061,-1.0000,0.0000,0.0000,-0.9800,0.0300,0.0400
test_02,0.070,0.071,-0.7071,0.7071,-1.0000,-0.6871,0.7371,-0.9600
test_03,0.000,0.001,0.0000,1.0000,0.0000,0.0300,1.0400,0.0500
test_03,0.010,0.011,0.7071,0.7071,1.0000,0.7371,0.7471,1.0500
test_03,0.020,0.021,1.0000,0.0000,0.0000,1.0300,0.0400,0.0500
test_03,0.030,0.031,0.7071,-0.7071,-1.0000,0.7371,-0.6671,-0.9500
test_03,0.040,0.041,0.0000,-1.0000,0.0000,0.0300,-0.9600,0.0500
test_03,0.050,0.051,-0.7071,-0.7071,1.0000,-0.6771,-0.6671,1.0500
test_03,0.060,0.061,-1.0000,0.0000,0.0000,-0.9700,0.0400,0.0500
test_03,0.070,0.071,-0.7071,0.7071,-1.0000,-0.6771,0.7471,-0.9500
test_04,0.000,0.001,0.0000,1.0000,0.0000,0.0400,1.0500,0.0600
test_04,0.010,0.011,0.7071,0.7071,1.0000,0.7471,0.7571,1.0600
test_04,0.020,0.021,1.0000,0.0000,0.0000,1.0400,0.0500,0.0600
test_04,0.030,0.031,0.7071,-0.7071,-1.0000,0.7471,-0.6571,-0.9400
test_04,0.040,0.041,0.0000,-1.0000,0.0000,0.0400,-0.9500,0.0600
test_04,0.050,0.051,-0.7071,-0.7071,1.0000,-0.6671,-0.6571,1.0600
test_04,0.060,0.061,-1.0000,0.0000,0.0000,-0.9600,0.0500,0.0600
test_04,0.070,0.071,-0.7071,0.7071,-1.0000,-0.6671,0.7571,-0.9400
